"Condition","hour","id","day","phase","Trial","n","Mean","sum","sqrt","sd","se","mean_Temp","sd_Temp","se_Temp"
"KO",0,53375,"Saline","light",6,60,0.002,0.12,0.0447213595499958,0.00819259690621946,0.00105765971266595,35.56,0.2189032755986,0.0282602913607876
"KO",0,53375,"Morphine Day 1","light",6,60,0.00616666666666667,0.37,0.0785281265959316,0.01785930576086,0.00230562645955456,38.878,14.0810067773724,1.8178501582199
"KO",0,53375,"Morphine Day 6","light",6,60,0.0393333333333333,2.36,0.19832633040858,0.0678699321026316,0.00876197055805734,35.2038333333333,0.821092888212684,0.106002636057902
"KO",0,53375,"Morphine Day 10","light",6,60,0.0425,2.55,0.206155281280883,0.0715831861708662,0.00924134959694099,34.9756666666667,0.762841180500022,0.0984823729292597
"KO",0,1011099,"Saline","light",7,60,0.00633333333333333,0.38,0.0795822425754222,0.0212305078431214,0.00274084677693116,35.027,0.655734288890796,0.0846549326803739
"KO",0,1011099,"Morphine Day 1","light",7,60,0.00383333333333333,0.23,0.061913918736689,0.0113632871030046,0.00146699405693701,34.4111666666667,0.104720639939692,0.0135193764830203
"KO",0,1011099,"Morphine Day 6","light",7,60,0.0218333333333333,1.31,0.147761068395343,0.0665745832975539,0.00859474174640415,34.1813333333333,0.145805380694774,0.0188233937072764
"KO",0,1011099,"Morphine Day 10","light",7,60,0.0466666666666667,2.8,0.216024689946929,0.0843452683544567,0.0108889273222735,34.1436666666667,0.274182709506071,0.035396835591168
"KO",0,1071184,"Saline","light",6,60,0.1,6,0.316227766016838,0.115890070647042,0.0149613437868931,35.1601666666667,0.2411658945634,0.0311343831105754
"KO",0,1071184,"Morphine Day 1","light",6,60,0.0816666666666667,4.9,0.285773803324704,0.120636260488432,0.0155740742606812,35.131,0.657209560779255,0.0848453894622115
"KO",0,1071184,"Morphine Day 6","light",6,60,0.0303333333333333,1.82,0.174164673034842,0.0613952647284255,0.00792609459430625,34.4388333333333,0.459517402214381,0.0593234415356264
"KO",0,1071184,"Morphine Day 10","light",6,60,0.0035,0.21,0.0591607978309962,0.014823824159503,0.00191374746989541,33.7523333333333,0.567621760749917,0.0732796542109787
"KO",0,1105705,"Saline","light",6,60,0.185333333333333,11.12,0.430503581092345,0.17081526017117,0.0220521552640343,35.4593333333333,0.228167843860066,0.0294563419803363
"KO",0,1105705,"Morphine Day 1","light",6,60,0.224166666666667,13.45,0.473462423711393,0.216170771058177,0.0279075265415046,35.464,0.257696444731235,0.0332684679606978
"KO",0,1105705,"Morphine Day 6","light",6,60,0.0133333333333333,0.8,0.115470053837925,0.0380306150833223,0.00490973129545772,34.4921666666667,0.256476064675463,0.0331109175729628
"KO",0,1105705,"Morphine Day 10","light",6,60,0.0833333333333333,5,0.288675134594813,0.112666700096943,0.0145452084382535,34.7073333333333,0.181302880460507,0.0234061012214326
"KO",0,1110163,"Saline","light",6,60,0.1935,11.61,0.439886348958455,0.123902982823427,0.0159958063006852,35.437,0.179701258684744,0.0231993327392842
"KO",0,1110163,"Morphine Day 1","light",6,60,0.1535,9.21,0.391790760483195,0.13227891693088,0.0170771347442551,35.712,0.27195961813899,0.0351098357297745
"KO",0,1110163,"Morphine Day 6","light",6,60,0.0333333333333333,2,0.182574185835055,0.0984398063804779,0.0127085243571825,33.9365,0.257878075250525,0.0332919163599102
"KO",0,1110163,"Morphine Day 10","light",6,60,0.0303333333333333,1.82,0.174164673034842,0.0783293063035076,0.0101122699611155,34.1641666666667,0.202671075814363,0.0261647233795656
"KO",0,1110165,"Saline","light",6,60,0.166833333333333,10.01,0.408452363603558,0.144321811625043,0.0186318657639425,35.7395,0.208525290097316,0.0269204991936658
"KO",0,1110165,"Morphine Day 1","light",6,60,0.017,1.02,0.130384048104053,0.0446568839949183,0.00576517893352784,34.6073333333333,0.501184585457858,0.0647026517618051
"KO",0,1110165,"Morphine Day 6","light",6,60,0.0438333333333333,2.63,0.209364116632563,0.0833634408888943,0.0107621739415078,34.3636666666667,0.464940188122164,0.0600235201859895
"KO",0,1110165,"Morphine Day 10","light",6,60,0.1525,9.15,0.390512483795333,0.19938570915928,0.0257405843681883,34.7758333333333,0.483873115692942,0.0624677506252086
"KO",0,1110169,"Saline","light",6,60,0.120833333333333,7.25,0.347610893576904,0.147525253990535,0.019045428395012,34.587,0.382982497276754,0.0494428277947266
"KO",0,1110169,"Morphine Day 1","light",6,60,0.0831666666666667,4.99,0.288386314978133,0.128373021964748,0.0165728858723929,34.7151666666667,0.461708293214015,0.0596062843474577
"KO",0,1110169,"Morphine Day 6","light",6,60,0.0151666666666667,0.91,0.123153021346074,0.0437826552867092,0.00565231649260549,34.2038333333333,0.423976700937508,0.0547351567303644
"KO",0,1110169,"Morphine Day 10","light",6,60,0.0543333333333333,3.26,0.233095116493961,0.103635061580049,0.0133792289194237,33.6298333333333,0.539458270850212,0.069643763299224
"KO",1,53375,"Saline","light",6,60,0.106833333333333,6.41,0.326853687960429,0.112136292174295,0.0144767330698831,38.1096666666667,4.79964368969433,0.619631335930522
"KO",1,53375,"Morphine Day 1","light",6,60,0.047,2.82,0.216794833886788,0.0834083278368676,0.0107679688215732,36.4243333333333,1.88276515603204,0.243063936471057
"KO",1,53375,"Morphine Day 6","light",6,60,0.0236666666666667,1.42,0.153839743456191,0.0793611497547476,0.010245480377867,35.1411666666667,3.39220396915657,0.43793164931607
"KO",1,53375,"Morphine Day 10","light",6,60,0.0296666666666667,1.78,0.172240142436851,0.0459168986531201,0.00592784612643427,35.6258333333333,3.85397892198095,0.497546539382221
"KO",1,1011099,"Saline","light",7,60,0.0136666666666667,0.82,0.116904519445001,0.0325715206093032,0.00420496522934943,34.793,0.326653810423829,0.0421708255915562
"KO",1,1011099,"Morphine Day 1","light",7,60,0.00333333333333333,0.2,0.0577350269189626,0.0121664538329809,0.00157068243591788,34.287,0.143140324655119,0.0184793364519999
"KO",1,1011099,"Morphine Day 6","light",7,60,0.0495,2.97,0.22248595461287,0.0975882911842972,0.0125985942180541,34.4188333333333,0.555759037123674,0.0717481831761419
"KO",1,1011099,"Morphine Day 10","light",7,60,0.009,0.54,0.0948683298050514,0.0348702194342082,0.00450172597157622,33.8281666666667,0.272897147488471,0.0352308702483453
"KO",1,1071184,"Saline","light",6,60,0.101833333333333,6.11,0.319113354990563,0.160839868430797,0.0207643377279557,35.4946666666667,0.840852002670791,0.108553526765638
"KO",1,1071184,"Morphine Day 1","light",6,60,0.0916666666666667,5.5,0.302765035409749,0.116737670080481,0.0150707684032253,34.8293333333333,0.728518037575904,0.0940512742314396
"KO",1,1071184,"Morphine Day 6","light",6,60,0.0618333333333333,3.71,0.248663092020777,0.127418856421455,0.0164497036304363,34.7153333333333,0.894833507223393,0.115522509036819
"KO",1,1071184,"Morphine Day 10","light",6,60,0.091,5.46,0.301662062579967,0.159498153647461,0.0205911230942483,34.5475,0.866652678070506,0.111884379637104
"KO",1,1105705,"Saline","light",6,60,0.174833333333333,10.49,0.41813076104651,0.208102742443317,0.0268659485261019,35.6515,0.52710216743555,0.0680485972075906
"KO",1,1105705,"Morphine Day 1","light",6,60,0.158166666666667,9.49,0.397701730781583,0.178965877503882,0.0231043954370644,35.3015,0.558049949164689,0.0720439386488912
"KO",1,1105705,"Morphine Day 6","light",6,60,0.1015,6.09,0.31859064644148,0.197911339506065,0.0255502440644197,34.948,0.383289950873589,0.0494825198834023
"KO",1,1105705,"Morphine Day 10","light",6,60,0.0486666666666667,2.92,0.220605228103657,0.107789290161158,0.0139155375231228,34.376,0.533219196826602,0.0688383023062508
"KO",1,1110163,"Saline","light",6,60,0.158833333333333,9.53,0.398538998509974,0.220208619627371,0.028428810550271,35.5021666666667,0.530839091668029,0.0685310320515382
