"Condition","day","phase","hour","id","Trial","n","mean_Temp","sd_Temp","se_Temp"
"WT","Morphine Day 1","light",9,53407,4,60,35.0308333333333,0.519668380785959,0.0670888994778198
"WT","Morphine Day 1","light",9,53407,5,60,34.8053333333333,0.339138822966256,0.0437826337800232
"WT","Morphine Day 1","light",9,1105702,7,60,34.192,0.287713369607405,0.0371436362990233
"WT","Morphine Day 1","light",9,1105717,6,60,34.7298333333333,0.313793042380368,0.0405105075764975
"WT","Morphine Day 1","light",9,1105717,7,60,34.241,0.0919045193555035,0.0118648224301687
"WT","Morphine Day 1","light",9,1110188.3,3,60,35.2115,0.0832155665033566,0.0107430834404239
"WT","Morphine Day 1","light",9,1113216.3,3,60,35.0256666666667,0.35342568881467,0.0456270602300368
"WT","Morphine Day 1","light",9,1114201.3,3,60,33.9988333333333,0.107215791694603,0.0138414991894547
"WT","Morphine Day 1","light",9,1114204.3,3,60,34.7108333333333,0.148121476334164,0.0191224003685958
"WT","Morphine Day 1","light",9,1115463.3,3,60,35.4346666666667,0.352408019814218,0.0454956797270134
"WT","Morphine Day 1","light",10,53375,5,60,36.3345,0.449506037741543,0.058030979939756
"WT","Morphine Day 1","light",10,53376,5,60,34.9421666666667,0.279564380667232,0.036091606350566
"WT","Morphine Day 1","light",10,53377,4,60,35.0006666666667,0.224604108710677,0.0289962657508738
"WT","Morphine Day 1","light",10,53377,5,54,35.4457407407407,0.502204956475814,0.0683414383145766
"WT","Morphine Day 1","light",10,53406,5,60,34.152,0.155659341218169,0.0200955345406529
"WT","Morphine Day 1","light",10,53407,4,60,34.6161666666667,0.300023115870256,0.038732817708092
"WT","Morphine Day 1","light",10,53407,5,60,35.5253333333333,0.635200399891718,0.0820040190094972
"WT","Morphine Day 1","light",10,1105702,7,60,34.4535,0.276318564617983,0.0356725733004462
"WT","Morphine Day 1","light",10,1105717,6,60,34.6923333333333,0.160553773310669,0.0207274030067661
"WT","Morphine Day 1","light",10,1105717,7,60,34.1943333333333,0.267083219854194,0.0344802954182249
"WT","Morphine Day 1","light",10,1110188.3,3,60,35.3166666666667,0.375326599773018,0.0484544556769852
"WT","Morphine Day 1","light",10,1113216.3,3,60,34.3803333333333,0.283799682676013,0.0366383814887716
"WT","Morphine Day 1","light",10,1114201.3,3,60,33.754,0.146498105500563,0.018912824095154
"WT","Morphine Day 1","light",10,1114204.3,3,60,34.8758333333333,0.425685057714717,0.054955704641948
"WT","Morphine Day 1","light",10,1115463.3,3,60,35.2028333333333,0.112522565219675,0.0145266007056113
"WT","Morphine Day 1","light",11,53375,5,60,35.9551666666667,0.172454775861714,0.022263815829545
"WT","Morphine Day 1","light",11,53376,5,60,35.4105,0.190329108366339,0.0245713822333779
"WT","Morphine Day 1","light",11,53377,4,57,34.8056140350877,0.297417560869873,0.0393939182931509
"WT","Morphine Day 1","light",11,53377,5,59,35.6047457627119,1.0272953373354,0.133742461223373
"WT","Morphine Day 1","light",11,53406,5,60,34.6505,0.227673755586916,0.0293925554585542
"WT","Morphine Day 1","light",11,53407,4,60,34.635,0.589732774875801,0.0761341738602222
"WT","Morphine Day 1","light",11,53407,5,60,34.7678333333333,0.195223398037333,0.0252032323129537
"WT","Morphine Day 1","light",11,1105702,7,60,35.4578333333333,0.192829877306192,0.02489423011527
"WT","Morphine Day 1","light",11,1105717,6,60,34.557,0.12512095842539,0.0161530462747681
"WT","Morphine Day 1","light",11,1105717,7,60,35.2958333333333,0.308738777558573,0.0398580047937596
"WT","Morphine Day 1","light",11,1110188.3,3,60,35.4753333333333,0.177396106301896,0.0229017388463095
"WT","Morphine Day 1","light",11,1113216.3,3,60,34.3898333333333,0.221232998325347,0.0285610572715201
"WT","Morphine Day 1","light",11,1114201.3,3,60,34.4361666666667,0.192328212290703,0.024829465440258
"WT","Morphine Day 1","light",11,1114204.3,3,60,34.9553333333333,0.251540788663751,0.0324737761795529
"WT","Morphine Day 1","light",11,1115463.3,3,60,35.1715,0.167946975086418,0.0216818612518537
"WT","Morphine Day 1","dark",12,53375,5,59,36.7959322033898,0.41752604149247,0.0543572606480389
"WT","Morphine Day 1","dark",12,53376,5,59,36.0171186440678,0.516022756940902,0.0671804407674584
"WT","Morphine Day 1","dark",12,53377,4,59,35.4113559322034,0.680094967068161,0.0885408231261432
"WT","Morphine Day 1","dark",12,53377,5,58,36.0484482758621,0.650796547624896,0.0854537731860477
"WT","Morphine Day 1","dark",12,53406,5,59,35.23,0.974520217939276,0.126871725902309
"WT","Morphine Day 1","dark",12,53407,4,59,34.7605084745763,0.221160136465472,0.0287925973188102
"WT","Morphine Day 1","dark",12,53407,5,58,35.866724137931,1.15595542306306,0.151784383147262
"WT","Morphine Day 1","dark",12,1105702,7,60,35.5115,0.211402299427868,0.0272919195011362
"WT","Morphine Day 1","dark",12,1105717,6,60,34.7801666666667,0.219386599923489,0.0283226882628247
"WT","Morphine Day 1","dark",12,1105717,7,60,35.2955,0.266314615776661,0.0343810690584879
"WT","Morphine Day 1","dark",12,1110188.3,3,60,32.9103333333333,1.45316133072255,0.187602321108035
"WT","Morphine Day 1","dark",12,1113216.3,3,60,31.8216666666667,1.79967621067703,0.232337199750594
"WT","Morphine Day 1","dark",12,1114201.3,3,60,34.8383333333333,0.331714430311429,0.0428241488097615
"WT","Morphine Day 1","dark",12,1114204.3,3,60,32.9091666666667,1.28940702659245,0.16646173134918
"WT","Morphine Day 1","dark",12,1115463.3,3,60,32.943,1.5681072472835,0.202441775126539
"WT","Morphine Day 1","dark",13,53375,5,60,37.0398333333333,0.307016764664913,0.039635693885123
"WT","Morphine Day 1","dark",13,53376,5,60,36.563,0.619686361347963,0.0800011652457511
"WT","Morphine Day 1","dark",13,53377,4,60,33.5345,0.665010322336097,0.085852463448791
"WT","Morphine Day 1","dark",13,53377,5,60,36.1183333333333,0.289137622892199,0.0373275066074495
"WT","Morphine Day 1","dark",13,53406,5,60,35.549,1.00464463740052,0.129699064983627
"WT","Morphine Day 1","dark",13,53407,4,60,33.668,0.477187381025703,0.0616046259910961
"WT","Morphine Day 1","dark",13,53407,5,38,37.3305263157895,1.52961741792996,0.248136711322965
"WT","Morphine Day 1","dark",13,1105702,7,60,35.2826666666667,0.196174141479734,0.025325972763585
"WT","Morphine Day 1","dark",13,1105717,6,60,35.6191666666667,0.246076270845944,0.0317683099627722
"WT","Morphine Day 1","dark",13,1105717,7,60,35.1193333333333,0.466955036004236,0.0602836359290697
"WT","Morphine Day 1","dark",13,1110188.3,3,60,32.029,0.325569644193587,0.0420308603330813
"WT","Morphine Day 1","dark",13,1113216.3,3,60,30.587,0.5836829299473,0.0753531422383814
"WT","Morphine Day 1","dark",13,1114201.3,3,60,34.647,0.13654700562723,0.0176281426256251
"WT","Morphine Day 1","dark",13,1114204.3,3,60,32.1496666666667,0.571741219957832,0.0738114741078999
"WT","Morphine Day 1","dark",13,1115463.3,3,60,32.3696666666667,0.704065594658567,0.0908944774250083
"WT","Morphine Day 1","dark",14,53375,5,60,37.0465,0.297542619080849,0.0384125869495689
"WT","Morphine Day 1","dark",14,53376,5,59,37.078813559322,0.331532932497235,0.043161911436094
"WT","Morphine Day 1","dark",14,53377,4,60,34.7648333333333,0.582421862560722,0.075190339138826
"WT","Morphine Day 1","dark",14,53377,5,60,36.6326666666667,0.437569816866712,0.0564900204509268
"WT","Morphine Day 1","dark",14,53406,5,60,35.3016666666667,0.417296247517385,0.0538727139023226
"WT","Morphine Day 1","dark",14,53407,4,60,35.2533333333333,0.410537748493184,0.0530001954301197
"WT","Morphine Day 1","dark",14,53407,5,58,36.2775862068966,1.27027322705997,0.166795046202454
"WT","Morphine Day 1","dark",14,1105702,7,60,35.3898333333333,0.189275977028851,0.0244354235623292
"WT","Morphine Day 1","dark",14,1105717,6,60,35.9066666666667,0.161062853997603,0.020793125040845
"WT","Morphine Day 1","dark",14,1105717,7,60,35.0878333333333,0.24169662779403,0.0312029004760257
"WT","Morphine Day 1","dark",14,1110188.3,3,60,33.6095,0.588743059263129,0.0760064021240435
"WT","Morphine Day 1","dark",14,1113216.3,3,60,33.1916666666667,0.746113470414831,0.0963228348432554
"WT","Morphine Day 1","dark",14,1114201.3,3,60,34.4011666666667,0.0994917876973223,0.0128443345612044
"WT","Morphine Day 1","dark",14,1114204.3,3,60,34.563,0.567705163392384,0.0732904214458221
"WT","Morphine Day 1","dark",14,1115463.3,3,60,34.8596666666667,0.532801889173963,0.0687844281199537
"WT","Morphine Day 1","dark",15,53375,5,60,36.3708333333333,0.222072607355912,0.0286694503312769
"WT","Morphine Day 1","dark",15,53376,5,60,36.748,0.320977321127157,0.041437993974525
"WT","Morphine Day 1","dark",15,53377,4,60,35.9398333333333,0.435771249534551,0.0562578264067771
"WT","Morphine Day 1","dark",15,53377,5,60,36.4451666666667,0.648760203973615,0.0837545821890646
"WT","Morphine Day 1","dark",15,53406,5,58,35.9322413793103,0.74987962333016,0.0984640184136757
"WT","Morphine Day 1","dark",15,53407,4,60,36.206,0.416719228323145,0.0537982210446649
"WT","Morphine Day 1","dark",15,53407,5,60,35.2251666666667,0.869962967586409,0.112311736175978
"WT","Morphine Day 1","dark",15,1105702,7,60,35.2866666666667,0.349312480509283,0.0450960473211619
"WT","Morphine Day 1","dark",15,1105717,6,60,36.4198333333333,0.16477505639216,0.0212723683092408
"WT","Morphine Day 1","dark",15,1105717,7,60,35.4585,0.371751808038187,0.0479929520484798
"WT","Morphine Day 1","dark",15,1110188.3,3,60,35.604,0.30560415295785,0.0394533264979192
"WT","Morphine Day 1","dark",15,1113216.3,3,60,35.1048333333333,0.388933751784075,0.050211131447923
"WT","Morphine Day 1","dark",15,1114201.3,3,60,33.8863333333333,0.161727608060713,0.0208789444213701
"WT","Morphine Day 1","dark",15,1114204.3,3,60,35.451,0.217019096246375,0.0280170448523731
"WT","Morphine Day 1","dark",15,1115463.3,3,60,35.7258333333333,0.13462177609462,0.017379596561711
"WT","Morphine Day 1","dark",16,53375,5,60,36.272,0.328812965227491,0.042449571278105
"WT","Morphine Day 1","dark",16,53376,5,60,36.8241666666667,0.652830322042819,0.0842800321723687
"WT","Morphine Day 1","dark",16,53377,4,58,35.6336206896552,0.222818455532373,0.0292574965712686
"WT","Morphine Day 1","dark",16,53377,5,60,36.3061666666667,0.439665094680287,0.0567605196535153
"WT","Morphine Day 1","dark",16,53406,5,54,35.7216666666667,0.705626310851599,0.0960235783704959
"WT","Morphine Day 1","dark",16,53407,4,60,35.6021666666667,0.132423200213566,0.0170957616359544
"WT","Morphine Day 1","dark",16,53407,5,59,35.0777966101695,0.455241761449476,0.0592674291560993
"WT","Morphine Day 1","dark",16,1105702,7,60,34.9495,0.474721774002272,0.0612863174930947
"WT","Morphine Day 1","dark",16,1105717,6,60,36.5246666666667,0.110506793512569,0.014266365697232
"WT","Morphine Day 1","dark",16,1105717,7,60,35.0066666666667,0.318415923855846,0.041107319008698
"WT","Morphine Day 1","dark",16,1110188.3,3,60,35.5198333333333,0.364494038298025,0.0470559780040047
"WT","Morphine Day 1","dark",16,1113216.3,3,60,35.006,0.187690693989258,0.0242307644019503
"WT","Morphine Day 1","dark",16,1114201.3,3,60,34.2705,0.305904743121788,0.0394921325212181
"WT","Morphine Day 1","dark",16,1114204.3,3,60,35.3928333333333,0.317789460559878,0.0410264429449548
"WT","Morphine Day 1","dark",16,1115463.3,3,60,35.5876666666667,0.288405121529237,0.037232941088122
"WT","Morphine Day 1","dark",17,53375,5,60,36.6301666666667,0.261426929653436,0.0337500714932632
"WT","Morphine Day 1","dark",17,53376,5,57,37.22,0.620161269348546,0.0821423667850679
"WT","Morphine Day 1","dark",17,53377,4,60,35.7526666666667,0.229027913824351,0.029567376535278
"WT","Morphine Day 1","dark",17,53377,5,60,36.5653333333333,0.36927536309008,0.0476732443804193
"WT","Morphine Day 1","dark",17,53406,5,53,36.2571698113208,1.16207602253383,0.159623417806496
"WT","Morphine Day 1","dark",17,53407,4,60,35.8515,0.382453386990283,0.0493745199504662
"WT","Morphine Day 1","dark",17,53407,5,59,35.438813559322,0.604052648840807,0.0786409565276667
"WT","Morphine Day 1","dark",17,1105702,7,60,35.2308333333333,0.550972304409204,0.0711302186399456
"WT","Morphine Day 1","dark",17,1105717,6,60,36.3348333333333,0.168074758050653,0.0216983579616006
"WT","Morphine Day 1","dark",17,1105717,7,60,35.2018333333333,0.172768991123365,0.022304380845395
"WT","Morphine Day 1","dark",17,1110188.3,3,60,35.6543333333333,0.256576989249679,0.0331239468794682
"WT","Morphine Day 1","dark",17,1113216.3,3,60,35.39,0.331028187647139,0.0427355552627531
"WT","Morphine Day 1","dark",17,1114201.3,3,60,34.166,0.1728445956265,0.0223141413447796
"WT","Morphine Day 1","dark",17,1114204.3,3,60,35.4431666666667,0.218783165363169,0.0282447851960699
"WT","Morphine Day 1","dark",17,1115463.3,3,60,35.294,0.116418298986813,0.0150295377723241
"WT","Morphine Day 1","dark",18,53375,5,60,36.8358333333333,0.283604473122589,0.0366131800437905
"WT","Morphine Day 1","dark",18,53376,5,58,37.1696551724138,0.39002458544748,0.0512127370427006
"WT","Morphine Day 1","dark",18,53377,4,60,35.4425,0.660686917828581,0.0852943143269067
"WT","Morphine Day 1","dark",18,53377,5,59,36.8828813559322,0.653407648138898,0.0850664301377444
"WT","Morphine Day 1","dark",18,53406,5,59,36.2240677966102,0.688469363363316,0.0896310766599312
"WT","Morphine Day 1","dark",18,53407,4,60,35.8643333333333,0.256999417440918,0.0331784821244562
"WT","Morphine Day 1","dark",18,53407,5,60,35.9038333333333,0.933168634580573,0.120471552697789
"WT","Morphine Day 1","dark",18,1105702,7,60,34.7545,0.361050374437357,0.0466114029112612
"WT","Morphine Day 1","dark",18,1105717,6,60,36.0215,0.343283373579717,0.0443176929634714
"WT","Morphine Day 1","dark",18,1105717,7,60,35.2335,0.230031869568,0.0296969866644606
"WT","Morphine Day 1","dark",18,1110188.3,3,60,35.4303333333333,0.272937359589864,0.0352360616083123
"WT","Morphine Day 1","dark",18,1113216.3,3,60,35.4291666666667,0.21515695230295,0.0277766431030023
"WT","Morphine Day 1","dark",18,1114201.3,3,60,34.2731666666667,0.281783013445925,0.0363780306106736
"WT","Morphine Day 1","dark",18,1114204.3,3,60,35.5138333333333,0.29544618177882,0.0381419380576646
"WT","Morphine Day 1","dark",18,1115463.3,3,60,35.528,0.309076261775667,0.03990157381884
"WT","Morphine Day 1","dark",19,53375,5,60,36.7613333333333,0.304716966016878,0.0393387911563406
"WT","Morphine Day 1","dark",19,53376,5,60,36.8913333333333,0.727718670419302,0.093948076375272
"WT","Morphine Day 1","dark",19,53377,4,60,35.8651666666667,0.831330344233228,0.107324285947072
"WT","Morphine Day 1","dark",19,53377,5,57,36.9650877192982,0.698069078670937,0.092461508216624
"WT","Morphine Day 1","dark",19,53406,5,54,36.1838888888889,1.13711222570003,0.154741374069199
"WT","Morphine Day 1","dark",19,53407,4,60,35.654,0.266523125209026,0.0344079875104571
"WT","Morphine Day 1","dark",19,53407,5,60,34.6181666666667,0.254328572124467,0.0328336774767591
"WT","Morphine Day 1","dark",19,1105702,7,60,34.7566666666667,0.410269306620423,0.0529655397333654
"WT","Morphine Day 1","dark",19,1105717,6,60,35.4336666666667,0.412967625712967,0.0533138912303046
"WT","Morphine Day 1","dark",19,1105717,7,60,35.3583333333333,0.117835948396333,0.0152125555241185
"WT","Morphine Day 1","dark",19,1110188.3,3,60,36.129,0.195921983781335,0.025293419344701
"WT","Morphine Day 1","dark",19,1113216.3,3,60,35.5561666666667,0.35384134942792,0.0456807217844631
"WT","Morphine Day 1","dark",19,1114201.3,3,60,33.7978333333333,0.215988791820526,0.0278840331229453
"WT","Morphine Day 1","dark",19,1114204.3,3,60,35.8476666666667,0.304042630076696,0.0392517347608049
"WT","Morphine Day 1","dark",19,1115463.3,3,60,35.8718333333333,0.305256167314627,0.0394084017445552
"WT","Morphine Day 1","dark",20,53375,5,60,36.9226666666667,0.361221405726186,0.0466334829557051
"WT","Morphine Day 1","dark",20,53376,5,60,35.9203333333333,0.5457135483348,0.0704513161500145
"WT","Morphine Day 1","dark",20,53377,4,59,36.0866101694915,0.669167290483791,0.0871181608120734
"WT","Morphine Day 1","dark",20,53377,5,54,35.8255555555556,0.746929985015814,0.101644296492968
"WT","Morphine Day 1","dark",20,53406,5,60,35.654,0.290109272224292,0.0374529459968346
"WT","Morphine Day 1","dark",20,53407,4,60,35.9463333333333,0.286852981104191,0.0370325606208827
"WT","Morphine Day 1","dark",20,53407,5,60,35.2988333333333,1.00075580195233,0.12919701848606
"WT","Morphine Day 1","dark",20,1105702,7,60,34.5635,0.411927363187216,0.0531795939157074
"WT","Morphine Day 1","dark",20,1105717,6,60,35.7405,0.450406313740857,0.0581472050715004
"WT","Morphine Day 1","dark",20,1105717,7,60,35.5205,0.136474061607052,0.0176187255931132
"WT","Morphine Day 1","dark",20,1110188.3,3,60,35.7058333333333,0.210353146702595,0.0271564744667159
"WT","Morphine Day 1","dark",20,1113216.3,3,60,34.756,0.146521242747498,0.0189158111008891
"WT","Morphine Day 1","dark",20,1114201.3,3,60,34.372,0.213793817988663,0.0276006632197397
"WT","Morphine Day 1","dark",20,1114204.3,3,60,35.5138333333333,0.180358321942142,0.0232841592410611
"WT","Morphine Day 1","dark",20,1115463.3,3,60,35.6401666666667,0.214274429350416,0.0276627098797419
"WT","Morphine Day 1","dark",21,53375,5,58,36.5491379310345,0.257159138951976,0.0337666492130617
"WT","Morphine Day 1","dark",21,53376,5,60,35.7841666666667,0.313067338111292,0.0404168195582174
"WT","Morphine Day 1","dark",21,53377,4,60,35.5581666666667,0.308931958208049,0.0398829443083673
"WT","Morphine Day 1","dark",21,53377,5,53,35.902641509434,1.33192768188903,0.182954337523148
"WT","Morphine Day 1","dark",21,53406,5,56,35.8480357142857,0.930066311698174,0.124285338762681
"WT","Morphine Day 1","dark",21,53407,4,60,36.2151666666667,0.337736692478516,0.0436016195124156
